,mad_name,control_system_name,beampath,image,columns,rows,bit_depth,calibration,ROI_start_X,ROI_X,ROI_Y,orient_X,orient_Y,center_pix_X,center_pix_Y,filt_1_out,filt_1_in,filt_2_out,filt_2_in,cam_rotation,calibration_Y,bin_X,bin_Y,ROI_start_X_Set,ROI_start_Y_SET,ROI_X_set,ROI_Y_set,SCLinac,Laser,Popin,Cascade,Color,NLCTA,FACET,SPEAR,XTA,AreaDet,Bufd,Filt,Proj,XRS,PCDS,ASTA,LCLS,SAS,HXS,ROI,FrameGrab,AreaDet2,SWROI,Gain,XTES,OneFilt,FiltFlip_1,FiltFlip_2
20,VCCS,VCC:AS01:186,ASTA,VCC:AS01:186,VCC:AS01:186:MaxSizeX_RBV,VCC:AS01:186:MaxSizeY_RBV,VCC:AS01:186:DataType_RBV,VCC:AS01:186:RESOLUTION,VCC:AS01:186:MinY_RBV,VCC:AS01:186:SizeX_RBV,VCC:AS01:186:SizeY_RBV,VCC:AS01:186:X_ORIENT,VCC:AS01:186:Y_ORIENT,VCC:AS01:186:X_RTCL_CTR,VCC:AS01:186:Y_RTCL_CTR,,,,,,,VCC:AS01:186:BinX,VCC:AS01:186:BinY,VCC:AS01:186:MinX,VCC:AS01:186:MinY,VCC:AS01:186:SizeX,VCC:AS01:186:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,VIS2S,VIS:AS01:2,ASTA,VIS:AS01:2,VIS:AS01:2:MaxSizeX_RBV,VIS:AS01:2:MaxSizeY_RBV,VIS:AS01:2:DataType_RBV,VIS:AS01:2:RESOLUTION,VIS:AS01:2:MinY_RBV,VIS:AS01:2:SizeX_RBV,VIS:AS01:2:SizeY_RBV,VIS:AS01:2:X_ORIENT,VIS:AS01:2:Y_ORIENT,VIS:AS01:2:X_RTCL_CTR,VIS:AS01:2:Y_RTCL_CTR,,,,,,,VIS:AS01:2:BinX,VIS:AS01:2:BinY,VIS:AS01:2:MinX,VIS:AS01:2:MinY,VIS:AS01:2:SizeX,VIS:AS01:2:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,YAG3S,YAGS:AS01:3,ASTA,YAGS:AS01:3,YAGS:AS01:3:MaxSizeX_RBV,YAGS:AS01:3:MaxSizeY_RBV,YAGS:AS01:3:DataType_RBV,YAGS:AS01:3:RESOLUTION,YAGS:AS01:3:MinY_RBV,YAGS:AS01:3:SizeX_RBV,YAGS:AS01:3:SizeY_RBV,YAGS:AS01:3:X_ORIENT,YAGS:AS01:3:Y_ORIENT,YAGS:AS01:3:X_RTCL_CTR,YAGS:AS01:3:Y_RTCL_CTR,,,,,,,YAGS:AS01:3:BinX,YAGS:AS01:3:BinY,YAGS:AS01:3:MinX,YAGS:AS01:3:MinY,YAGS:AS01:3:SizeX,YAGS:AS01:3:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,CAM1,LTB-B1-CAM,SPEAR,LTB-B1-CAM,LTB-B1-CAM:MaxSizeX_RBV,LTB-B1-CAM:MaxSizeY_RBV,LTB-B1-CAM:DataType_RBV,,LTB-B1-CAM:MinY_RBV,LTB-B1-CAM:SizeX_RBV,LTB-B1-CAM:SizeY_RBV,,,,,,,,,,,LTB-B1-CAM:BinX,LTB-B1-CAM:BinY,LTB-B1-CAM:MinX,LTB-B1-CAM:MinY,LTB-B1-CAM:SizeX,LTB-B1-CAM:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,CAMR:LT10:500,CAMR:LT10:500,F2_ELEC,CAMR:LT10:500,CAMR:LT10:500:MaxSizeX_RBV,CAMR:LT10:500:MaxSizeY_RBV,CAMR:LT10:500:DataType_RBV,CAMR:LT10:500:RESOLUTION,CAMR:LT10:500:MinY_RBV,CAMR:LT10:500:Image:ArraySize0_RBV,CAMR:LT10:500:Image:ArraySize1_RBV,CAMR:LT10:500:X_ORIENT,CAMR:LT10:500:Y_ORIENT,CAMR:LT10:500:X_RTCL_CTR,CAMR:LT10:500:Y_RTCL_CTR,,,,,,,CAMR:LT10:500:BinX_RBV,CAMR:LT10:500:BinY_RBV,CAMR:LT10:500:MinX,CAMR:LT10:500:MinY,CAMR:LT10:500:SizeX,CAMR:LT10:500:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,CAMR:LT10:600,CAMR:LT10:600,F2_ELEC,CAMR:LT10:600,CAMR:LT10:600:MaxSizeX_RBV,CAMR:LT10:600:MaxSizeY_RBV,CAMR:LT10:600:DataType_RBV,CAMR:LT10:600:RESOLUTION,CAMR:LT10:600:MinY_RBV,CAMR:LT10:600:Image:ArraySize0_RBV,CAMR:LT10:600:Image:ArraySize1_RBV,CAMR:LT10:600:X_ORIENT,CAMR:LT10:600:Y_ORIENT,CAMR:LT10:600:X_RTCL_CTR,CAMR:LT10:600:Y_RTCL_CTR,,,,,,,CAMR:LT10:600:BinX_RBV,CAMR:LT10:600:BinY_RBV,CAMR:LT10:600:MinX,CAMR:LT10:600:MinY,CAMR:LT10:600:SizeX,CAMR:LT10:600:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,CAMR:LT10:700,CAMR:LT10:700,F2_ELEC,CAMR:LT10:700,CAMR:LT10:700:MaxSizeX_RBV,CAMR:LT10:700:MaxSizeY_RBV,CAMR:LT10:700:DataType_RBV,CAMR:LT10:700:RESOLUTION,CAMR:LT10:700:MinY_RBV,CAMR:LT10:700:Image:ArraySize0_RBV,CAMR:LT10:700:Image:ArraySize1_RBV,CAMR:LT10:700:X_ORIENT,CAMR:LT10:700:Y_ORIENT,CAMR:LT10:700:X_RTCL_CTR,CAMR:LT10:700:Y_RTCL_CTR,,,,,,,CAMR:LT10:700:BinX_RBV,CAMR:LT10:700:BinY_RBV,CAMR:LT10:700:MinX,CAMR:LT10:700:MinY,CAMR:LT10:700:SizeX,CAMR:LT10:700:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,CAMR:LT10:800,CAMR:LT10:800,F2_ELEC,CAMR:LT10:800,CAMR:LT10:800:MaxSizeX_RBV,CAMR:LT10:800:MaxSizeY_RBV,CAMR:LT10:800:DataType_RBV,CAMR:LT10:800:RESOLUTION,CAMR:LT10:800:MinY_RBV,CAMR:LT10:800:Image:ArraySize0_RBV,CAMR:LT10:800:Image:ArraySize1_RBV,CAMR:LT10:800:X_ORIENT,CAMR:LT10:800:Y_ORIENT,CAMR:LT10:800:X_RTCL_CTR,CAMR:LT10:800:Y_RTCL_CTR,,,,,,,CAMR:LT10:800:BinX_RBV,CAMR:LT10:800:BinY_RBV,CAMR:LT10:800:MinX,CAMR:LT10:800:MinY,CAMR:LT10:800:SizeX,CAMR:LT10:800:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,CAMR:LT10:200,CAMR:LT10:200,F2_ELEC,CAMR:LT10:200,CAMR:LT10:200:MaxSizeX_RBV,CAMR:LT10:200:MaxSizeY_RBV,CAMR:LT10:200:DataType_RBV,CAMR:LT10:200:RESOLUTION,CAMR:LT10:200:MinY_RBV,CAMR:LT10:200:Image:ArraySize0_RBV,CAMR:LT10:200:Image:ArraySize1_RBV,CAMR:LT10:200:X_ORIENT,CAMR:LT10:200:Y_ORIENT,CAMR:LT10:200:X_RTCL_CTR,CAMR:LT10:200:Y_RTCL_CTR,,,,,,,CAMR:LT10:200:BinX_RBV,CAMR:LT10:200:BinY_RBV,CAMR:LT10:200:MinX,CAMR:LT10:200:MinY,CAMR:LT10:200:SizeX,CAMR:LT10:200:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,CAMR:LT10:380,CAMR:LT10:380,F2_ELEC,CAMR:LT10:380,CAMR:LT10:380:MaxSizeX_RBV,CAMR:LT10:380:MaxSizeY_RBV,CAMR:LT10:380:DataType_RBV,CAMR:LT10:380:RESOLUTION,CAMR:LT10:380:MinY_RBV,CAMR:LT10:380:Image:ArraySize0_RBV,CAMR:LT10:380:Image:ArraySize1_RBV,CAMR:LT10:380:X_ORIENT,CAMR:LT10:380:Y_ORIENT,CAMR:LT10:380:X_RTCL_CTR,CAMR:LT10:380:Y_RTCL_CTR,,,,,,,CAMR:LT10:380:BinX_RBV,CAMR:LT10:380:BinY_RBV,CAMR:LT10:380:MinX,CAMR:LT10:380:MinY,CAMR:LT10:380:SizeX,CAMR:LT10:380:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
